datetime,value
2018-12-16 18:00:00+01:00,29492.931140398672
2018-12-16 19:00:00+01:00,30865.88401524786
2018-12-16 20:00:00+01:00,31784.22816173943
2018-12-16 21:00:00+01:00,32013.94328111441
2018-12-16 22:00:00+01:00,30801.767676949665
2018-12-16 23:00:00+01:00,28527.685775837137
2018-12-17 00:00:00+01:00,25851.77201315861
2018-12-17 01:00:00+01:00,24001.412061523402
2018-12-17 02:00:00+01:00,22953.9076581332
2018-12-17 03:00:00+01:00,22523.955388738523
2018-12-17 04:00:00+01:00,22597.856416133403
2018-12-17 05:00:00+01:00,23503.294583146268
2018-12-17 06:00:00+01:00,26469.372659697587
2018-12-17 07:00:00+01:00,31249.615836389115
2018-12-17 08:00:00+01:00,34692.07541763199
2018-12-17 09:00:00+01:00,35829.21383651168
2018-12-17 10:00:00+01:00,36575.73818969837
2018-12-17 11:00:00+01:00,36526.49945230147
2018-12-17 12:00:00+01:00,35876.71655731007
2018-12-17 13:00:00+01:00,35633.77852225489
2018-12-17 14:00:00+01:00,34571.25953220043
2018-12-17 15:00:00+01:00,33997.332853023385
2018-12-17 16:00:00+01:00,33818.223273730146
2018-12-17 17:00:00+01:00,34456.04912946949
2018-12-17 18:00:00+01:00,36513.92311153705
2018-12-17 19:00:00+01:00,37000.54243802049
2018-12-17 20:00:00+01:00,37433.66312145698
2018-12-17 21:00:00+01:00,36447.85717336183
2018-12-17 22:00:00+01:00,33678.15206997352
2018-12-17 23:00:00+01:00,30406.15556339605
2018-12-18 00:00:00+01:00,28073.702731786245
2018-12-18 01:00:00+01:00,26014.34863867091
2018-12-18 02:00:00+01:00,24978.107428300336
2018-12-18 03:00:00+01:00,24376.735888570736
2018-12-18 04:00:00+01:00,24412.535379996563
2018-12-18 05:00:00+01:00,25005.345440646513
2018-12-18 06:00:00+01:00,27649.9876654884
2018-12-18 07:00:00+01:00,32275.35286581567
2018-12-18 08:00:00+01:00,35532.205205360064
2018-12-18 09:00:00+01:00,36703.987946079826
2018-12-18 10:00:00+01:00,37208.5030570895
2018-12-18 11:00:00+01:00,37006.85219408378
2018-12-18 12:00:00+01:00,36684.89297124369
2018-12-18 13:00:00+01:00,36528.68750110243
2018-12-18 14:00:00+01:00,35366.8720421263
2018-12-18 15:00:00+01:00,34970.58927401165
2018-12-18 16:00:00+01:00,34790.222238662085
2018-12-18 17:00:00+01:00,35639.03225669149
2018-12-18 18:00:00+01:00,37094.90298955147
2018-12-18 19:00:00+01:00,37420.52869788513
2018-12-18 20:00:00+01:00,37632.32629866547
2018-12-18 21:00:00+01:00,36881.98632186172
2018-12-18 22:00:00+01:00,34102.316138519906
2018-12-18 23:00:00+01:00,30704.451566129763
2018-12-19 00:00:00+01:00,28305.254347809034
2018-12-19 01:00:00+01:00,26207.268744899906
2018-12-19 02:00:00+01:00,24855.120824411628
2018-12-19 03:00:00+01:00,24199.172859354156
2018-12-19 04:00:00+01:00,24142.57611744409
2018-12-19 05:00:00+01:00,24664.73407995315
2018-12-19 06:00:00+01:00,27286.69651856371
2018-12-19 07:00:00+01:00,31934.61471825869
2018-12-19 08:00:00+01:00,35133.9851308317
2018-12-19 09:00:00+01:00,36013.58256178388
2018-12-19 10:00:00+01:00,36351.555149188636
2018-12-19 11:00:00+01:00,36193.87240099908
2018-12-19 12:00:00+01:00,35623.56546888451
2018-12-19 13:00:00+01:00,35288.64440763324
2018-12-19 14:00:00+01:00,34317.8626118745
2018-12-19 15:00:00+01:00,33698.55956383884
2018-12-19 16:00:00+01:00,33585.79498582509
2018-12-19 17:00:00+01:00,34277.797627360436
2018-12-19 18:00:00+01:00,36161.60929642517
2018-12-19 19:00:00+01:00,36617.86801611687
2018-12-19 20:00:00+01:00,36692.85160863419
2018-12-19 21:00:00+01:00,36107.09147313687
2018-12-19 22:00:00+01:00,33583.08728193304
2018-12-19 23:00:00+01:00,30560.922707398116
2018-12-20 00:00:00+01:00,28151.191180206915
2018-12-20 01:00:00+01:00,26064.818911707807
2018-12-20 02:00:00+01:00,24723.183764907135
2018-12-20 03:00:00+01:00,24032.932567390668
2018-12-20 04:00:00+01:00,23940.529532755725
2018-12-20 05:00:00+01:00,24576.62642235221
2018-12-20 06:00:00+01:00,26960.76614392459
2018-12-20 07:00:00+01:00,31438.27337609045
2018-12-20 08:00:00+01:00,34793.51356263505
2018-12-20 09:00:00+01:00,35571.078364755274
2018-12-20 10:00:00+01:00,35708.20077128661
2018-12-20 11:00:00+01:00,35521.46733250953
2018-12-20 12:00:00+01:00,35266.513301576495
2018-12-20 13:00:00+01:00,34802.806834746705
2018-12-20 14:00:00+01:00,33585.08864123192
2018-12-20 15:00:00+01:00,33099.696714338934
2018-12-20 16:00:00+01:00,32916.799018014586
2018-12-20 17:00:00+01:00,33472.291802218766
2018-12-20 18:00:00+01:00,35541.28561017824
2018-12-20 19:00:00+01:00,35963.064159912756
2018-12-20 20:00:00+01:00,36150.24132069001
2018-12-20 21:00:00+01:00,35553.94730516646
2018-12-20 22:00:00+01:00,33266.78698672343
2018-12-20 23:00:00+01:00,30317.445563520192
2018-12-21 00:00:00+01:00,28050.457654461974
2018-12-21 01:00:00+01:00,25957.476945356975
2018-12-21 02:00:00+01:00,24425.740333888913
2018-12-21 03:00:00+01:00,23779.458766275675
2018-12-21 04:00:00+01:00,23569.36649122947
2018-12-21 05:00:00+01:00,24112.84725753058
2018-12-21 06:00:00+01:00,26405.973389241397
2018-12-21 07:00:00+01:00,30707.412670131875
2018-12-21 08:00:00+01:00,33741.830932553596
2018-12-21 09:00:00+01:00,34566.652626902105
2018-12-21 10:00:00+01:00,34947.6992802925
2018-12-21 11:00:00+01:00,34719.04903264559
2018-12-21 12:00:00+01:00,34153.73029609725
2018-12-21 13:00:00+01:00,33561.36008927394
2018-12-21 14:00:00+01:00,32349.176475346307
2018-12-21 15:00:00+01:00,31499.939246982376
2018-12-21 16:00:00+01:00,31189.23387060823
2018-12-21 17:00:00+01:00,31663.154766435033
2018-12-21 18:00:00+01:00,33449.31482635916
2018-12-21 19:00:00+01:00,34018.559383475185
2018-12-21 20:00:00+01:00,33950.02885837228
2018-12-21 21:00:00+01:00,33196.51107408574
2018-12-21 22:00:00+01:00,31348.215268591972
2018-12-21 23:00:00+01:00,28887.031339047746
2018-12-22 00:00:00+01:00,26763.360706694224
2018-12-22 01:00:00+01:00,24677.903177500164
2018-12-22 02:00:00+01:00,23152.830184918606
2018-12-22 03:00:00+01:00,22414.708748005938
2018-12-22 04:00:00+01:00,21896.280050553036
2018-12-22 05:00:00+01:00,21858.63292650794
2018-12-22 06:00:00+01:00,22423.09366705072
2018-12-22 07:00:00+01:00,23952.581122591393
2018-12-22 08:00:00+01:00,25614.113936336496
2018-12-22 09:00:00+01:00,28238.6240045019
2018-12-22 10:00:00+01:00,30009.20045326174
2018-12-22 11:00:00+01:00,30211.95775164785
2018-12-22 12:00:00+01:00,29690.49358062228
2018-12-22 13:00:00+01:00,29759.921315354946
2018-12-22 14:00:00+01:00,29304.28159884165
2018-12-22 15:00:00+01:00,28111.426606731082
2018-12-22 16:00:00+01:00,27380.56109897037
2018-12-22 17:00:00+01:00,27629.524387147798
2018-12-22 18:00:00+01:00,29762.272025866638
2018-12-22 19:00:00+01:00,30369.30343097488
2018-12-22 20:00:00+01:00,30902.845296848027
2018-12-22 21:00:00+01:00,30620.519516236738
2018-12-22 22:00:00+01:00,29419.77127217558
2018-12-22 23:00:00+01:00,27503.948674028
2018-12-23 00:00:00+01:00,25163.433344968154
2018-12-23 01:00:00+01:00,23053.06861857956
2018-12-23 02:00:00+01:00,21721.4931000548
2018-12-23 03:00:00+01:00,20794.547333660004
2018-12-23 04:00:00+01:00,20358.25627971566
